Created - 15:43:03.290620: Large marble: Big Joe, marbles: Maximum Violet, Beaver, Pastel Blue, Golden Yellow, Middle Red Purple, Pastel Gray, Neon Pink
Created - 15:43:03.399223: Large marble: Lucky, marbles: Silver Pink, Orange Soda, Pale Cerulean, Dark Moss Green, Spanish Orange, Isabelline, Almond
Created - 15:43:03.508154: Large marble: Apollo, marbles: Duke Blue, Silver Pink, Granny Smith Apple, Auburn, Almond, Cotton Candy, Maximum Blue
Created - 15:43:03.616492: Large marble: Apollo, marbles: Gold, Pale Goldenrod, Granny Smith Apple, Mango Tango, Bistre Brown, Safety Yellow, Thulian Pink
Created - 15:43:03.725673: Large marble: 5-Star, marbles: Icterine, Duke Blue, Royal Orange, Outrageous Orange, Blue-Green, Lavender Blue, Dark Fuchsia
Created - 15:43:03.833842: Large marble: Winner, marbles: Pale Cerulean, Bistre Brown, Royal Red, Terra Cotta, Lavender Purple, Lumber, Pastel Gray
Created - 15:43:03.941872: Large marble: Hercules, marbles: Light Orange, Indigo, Mode Beige, Terra Cotta, Spanish Carmine, Blue Bell, Pale Cerulean
Created - 15:43:04.049270: Large marble: Sure Shot, marbles: Neon Pink, Lavender Blue, Mango Tango, Purple Plum, Spanish Orange, Neon Dark Green, Russian Violet
Created - 15:43:04.157655: Large marble: Apollo, marbles: Silver Chalice, Lavender Blue, Terra Cotta, Honeydew, Maximum Violet, Mimi Pink, La Salle Green
Created - 15:43:04.265953: Large marble: Sure Shot, marbles: Orange Soda, Lavender Blue, Orange Soda, Pale Goldenrod, Sage, Lavender Blue, Slate Blue
Created - 15:43:04.375470: Large marble: Big Joe, marbles: Pale Plum, Mint Green, Beaver, Mode Beige, Duke Blue, Brown, Dark Moss Green
Created - 15:43:04.484965: Large marble: Lucky, marbles: Russian Green, Auburn, Antique Brass, Russian Violet, Vegas Gold, Royal Blue, Beaver
Created - 15:43:04.592126: Large marble: Lucky, marbles: Rose Dust, Middle Green, Dark Moss Green, Fiery Rose, Gold, Lavender Purple, Pastel Gray
Created - 15:43:04.700669: Large marble: Winner, marbles: Antique Brass, Fiery Rose, Antique Brass, Indigo, Spanish Pink, Neon Pink, Sage
Created - 15:43:04.809013: Large marble: Sure Shot, marbles: Sage, Neon Silver, Pale Goldenrod, Green, Maximum Purple, Light Orchid, Cotton Candy
Created - 15:43:04.915425: Large marble: 5-Star, marbles: Rose Dust, Blue-Green, Sage, Terra Cotta, Platinum, Bistre Brown, La Salle Green
Created - 15:43:05.022569: Large marble: Zeus, marbles: Gold, Blue Bell, Russian Green, Pale Cerulean, Spanish Pink, Light Orchid, Indigo
Created - 15:43:05.133219: Large marble: Sure Shot, marbles: Silver Chalice, Silver Chalice, Fiery Rose, Pale Goldenrod, Silver Pink, Fiery Rose, Pastel Gray
Created - 15:43:05.242164: Large marble: Zeus, marbles: Almond, Brink Pink, Shandy, Mint Green, Fiery Rose, Icterine, Mode Beige
Created - 15:43:05.350062: Large marble: Lucky, marbles: Rose Quartz, Light Orchid, Orange Soda, Gold, Maximum Blue, Black Coral, Purple Plum
Created - 15:43:05.457683: Large marble: Spinner, marbles: Arylide Yellow, Spanish Carmine, Orange Peel, Duke Blue, Lavender Blue, Lumber, Mint Cream
Created - 15:43:05.567252: Large marble: Apollo, marbles: Lumber, Mode Beige, Spanish Orange, Pastel Gray, Sheen Green, Purple Plum, Fiery Rose
Created - 15:43:05.674185: Large marble: Big Joe, marbles: Mint Green, Purple Plum, Antique Bronze, Mimi Pink, Lemon Lime, Black Coral, Dark Fuchsia
Created - 15:43:05.781708: Large marble: 5-Star, marbles: Orange Soda, Silver Pink, Middle Green Yellow, Golden Yellow, Rose Dust, Maximum Blue, Pastel Blue
Created - 15:43:05.890633: Large marble: Apollo, marbles: Arylide Yellow, Honeydew, Black Coral, Antique Bronze, Orange Peel, Middle Green, Auburn
Created - 15:43:05.998383: Large marble: Lucky, marbles: Maximum Blue, Orange Soda, Brink Pink, Russian Green, Brink Pink, Ivory, Isabelline
Created - 15:43:06.106932: Large marble: Hercules, marbles: Venetian Red, Duke Blue, Eerie Black, Zomp, Rose Dust, Neon Dark Green, Middle Green
Created - 15:43:06.214692: Large marble: Big Joe, marbles: Pastel Gray, Pastel Gray, Neon Silver, Blue-Green, Ivory, Silver Pink, Blue Bell
Created - 15:43:06.324590: Large marble: Winner, marbles: Ivory, Mimi Pink, Sage, Tuscan Brown, Mulberry, Sheen Green, Spanish Carmine
Created - 15:43:06.433354: Large marble: Winner, marbles: Lavender Blue, Maximum Violet, Platinum, Antique Brass, Mimi Pink, Neon Silver, Lemon Lime
Created - 15:43:06.541341: Large marble: Lucky, marbles: Lavender Purple, Maximum Blue, Granny Smith Apple, Mint Cream, Dark Fuchsia, Russian Green, Duke Blue
Created - 15:43:06.650541: Large marble: Apollo, marbles: Neon Silver, Sheen Green, Eerie Black, Cobalt Blue, Spanish Carmine, Mint Green, Maximum Blue
Created - 15:43:06.759388: Large marble: 5-Star, marbles: Pale Cerulean, Lavender Blue, Light Orange, Sage, Lumber, Dark Fuchsia, Dark Fuchsia
Created - 15:43:06.865782: Large marble: Zeus, marbles: Mimi Pink, Middle Green, Light Orange, Light Orchid, Pale Goldenrod, Lumber, Spanish Pink
Created - 15:43:06.972983: Large marble: Lucky, marbles: Orange Soda, Middle Red Purple, Mimi Pink, Pastel Blue, Middle Red Purple, Zomp, Spanish Orange
Created - 15:43:07.083767: Large marble: Hercules, marbles: Terra Cotta, Blue Bell, Mode Beige, Fiery Rose, Purple Plum, Pale Goldenrod, Royal Red
Created - 15:43:07.193944: Large marble: Sure Shot, marbles: Light Orange, Maximum Violet, Pastel Blue, Rose Quartz, Rose Quartz, Russian Green, Duke Blue
Created - 15:43:07.301550: Large marble: Zeus, marbles: Lavender Blue, Russian Violet, Lilac Luster, Pale Taupe, Golden Yellow, Eerie Black, Blue Bell
Created - 15:43:07.408457: Large marble: Winner, marbles: Zomp, Royal Blue, Platinum, Neon Dark Green, Royal Red, Mango Tango, Fiery Rose
Created - 15:43:07.517604: Large marble: Hercules, marbles: Liver Chestnut, La Salle Green, Sage, Blue Bell, Icterine, Blue, Indigo
Created - 15:43:07.623735: Large marble: Spinner, marbles: Neon Pink, Thulian Pink, Rose Dust, Fiery Rose, Light Orchid, Orange Soda, Antique Brass
Created - 15:43:07.733537: Large marble: 5-Star, marbles: Zomp, Liver Chestnut, Lumber, Maximum Purple, Orange Soda, Mode Beige, Middle Red Purple
Created - 15:43:07.843747: Large marble: Hercules, marbles: Middle Green Yellow, Auburn, Lavender Purple, Pastel Gray, Spanish Carmine, Honeydew, Blue
Created - 15:43:07.949459: Large marble: Apollo, marbles: Pale Plum, Blue-Green, Silver Pink, Dark Fuchsia, Eerie Black, Tuscan Brown, Pastel Gray
Created - 15:43:08.056009: Large marble: Big Joe, marbles: Mimi Pink, Arylide Yellow, Spanish Carmine, Royal Red, Orange Peel, Bistre Brown, Fiery Rose
Created - 15:43:08.165193: Large marble: Apollo, marbles: Silver Chalice, Spanish Pink, Bistre Brown, Lavender Purple, Zomp, Venetian Red, Shandy
Created - 15:43:08.273592: Large marble: Sure Shot, marbles: Dark Fuchsia, Spanish Carmine, Slate Blue, Terra Cotta, Brown, Shandy, Brink Pink
Created - 15:43:08.382561: Large marble: Sure Shot, marbles: Blue-Green, Silver Pink, Blue Bell, Lavender Blue, Pale Goldenrod, Light Orchid, Stop Red
Created - 15:43:08.490359: Large marble: Hercules, marbles: Spanish Orange, Russian Violet, Honeydew, Spanish Orange, Gold, Spanish Orange, Mint Green
Created - 15:43:08.600390: Large marble: Spinner, marbles: Arylide Yellow, Outrageous Orange, Russian Green, Ruby, Neon Dark Green, Royal Blue, Orange Peel
Created - 15:43:08.708554: Large marble: Sure Shot, marbles: Mimi Pink, Indigo, Emerald, Middle Red Purple, Emerald, Blue-Green, Orange Soda
Created - 15:43:08.816919: Large marble: Apollo, marbles: Gold, Lumber, Rose Dust, Blue-Green, Beaver, Mint Cream, Vegas Gold
